	mean_sigma	alpha	beta	prior_sigma	Y_mean	X_mean	Z_mean	gene
ENSG00000156482	0.719409278	9.97463822	3.876845957	0.490782454	1108.2448	25	1.505617978	RPL30
ENSG00000121594	0.150821409	2.66269989	14.69809734	0.496265307	0.49889642	16.55555556	2.887640449	CD80
ENSG00000187231	0.429049352	5.982164006	8.120730463	0.512663567	38.243874	25	2.303370787	SESTD1
ENSG00000169991	0.643363017	7.962904001	4.377992123	0.507611327	29.045275	24.98412698	1.033707865	IFFO2
ENSG00000130167	0.076251339	1.704505178	20.53583717	0.499393241	1.4230695	10	2.876404494	TSPAN16
ENSG00000100811	0.555655091	7.494168863	5.805191509	0.506855629	24.724148	24.98412698	1.449438202	YY1
ENSG00000130755	0.560316338	7.475898628	5.907196547	0.496516346	57.746845	24.98412698	1.674157303	GMFG
ENSG00000163295	0.052216897	1.27699087	22.9357104	0.492424518	2.8236415	6.380952381	2.898876404	ALPI
ENSG00000112699	0.602625274	7.735775396	5.274847393	0.498270992	43.628345	25	1.393258427	GMDS
ENSG00000175764	0.385692631	5.564731628	8.749166362	0.503131043	4.2764626	25	2.056179775	TTLL11
ENSG00000204315	0.328675721	4.955164117	10.29265249	0.49581349	0.574471	24.41269841	2.112359551	FKBPL
ENSG00000240303	0.387143562	5.874517584	9.363567871	0.505062836	71.287254	25	2.674157303	ACAD11
ENSG00000143630	0.334665931	5.020276447	10.13766503	0.507702938	12.592597	24.87301587	2.426966292	HCN3
ENSG00000131236	0.621890951	8.685474971	5.210479485	0.50451145	247.13828	25	1.573033708	CAP1
ENSG00000167972	0.581121784	7.795237418	5.711762759	0.491290801	139.263	25	1.584269663	ABCA3
ENSG00000116661	0.323512567	4.904069753	10.55819982	0.511862671	35.69666	25	2.730337079	FBXO2
ENSG00000100345	0.60098435	8.776057215	5.872426221	0.49940893	1077.5513	24.98412698	1.831460674	MYH9
ENSG00000164919	0.703800738	8.7644146	3.754078143	0.498425527	170.0175	25	1.033707865	COX6C
ENSG00000107438	0.562978157	7.853391937	6.031066597	0.49100167	177.78903	25	1.674157303	PDLIM1
ENSG00000118514	0.22609865	3.751188119	12.89330036	0.500843897	4.8481073	23.71428571	2.95505618	ALDH8A1
ENSG00000029725	0.602587918	7.928954427	5.302081347	0.502855856	50.340168	24.98412698	1.348314607	RABEP1
ENSG00000250565	0.257747368	4.071614601	11.76081886	0.500576124	2.4161923	24.96825397	2.966292135	ATP6V1E2
ENSG00000215187	0.276100257	4.284361304	11.11075422	0.49639483	37.238464	24.85714286	2.741573034	FAM166B
ENSG00000122873	0.469957025	6.656339787	7.508221783	0.493036539	20.3177	25	1.97752809	CISD1
ENSG00000113407	0.704725457	9.024962657	3.667508858	0.494886345	92.19308	25	1.157303371	TARS
ENSG00000166118	0.079584003	1.805812993	20.68880759	0.50805557	1.4054697	11.25396825	2.887640449	SPATA19
ENSG00000125356	0.529892234	7.434476905	6.698012068	0.504272505	94.92823	24.98412698	1.876404494	NDUFA1
ENSG00000143702	0.387166281	5.705719706	9.155307913	0.495609293	27.521109	24.98412698	2.460674157	CEP170
ENSG00000160111	0.543244136	7.077277285	6.053657723	0.495953827	49.604748	24.95238095	1.528089888	CPAMD8
ENSG00000118263	0.452388977	6.285253939	7.531741981	0.498618182	7.018781	24.96825397	1.842696629	KLF7
ENSG00000126456	0.641740262	8.592891742	4.733629972	0.484432498	75.07887	25	1.505617978	IRF3
ENSG00000188739	0.646113535	7.400916085	4.173049988	0.499756203	1.8944823	24.9047619	0.471910112	RBM34
ENSG00000198554	0.373812414	5.55242904	9.119105731	0.504131325	4.8949337	24.96825397	2.02247191	WDHD1
ENSG00000163412	0.415793748	5.940969607	8.23111583	0.493285831	12.427465	25	2.011235955	EIF4E3
ENSG00000147687	0.546643535	7.447150956	6.249354393	0.505276391	39.389698	25	1.685393258	TATDN1
ENSG00000169282	0.332814748	5.029348617	10.09547675	0.489999147	14.830547	24.74603175	2.348314607	KCNAB1
ENSG00000102290	0.087318994	1.91066177	20.10679385	0.506801436	0.13198695	10.44444444	2.662921348	PCDH11X
ENSG00000174469	0.158417444	2.884709172	15.07200831	0.497313918	2.0091217	19.01587302	2.764044944	CNTNAP2
ENSG00000165244	0.320287848	4.748123434	9.938284276	0.503402763	0.66010624	23.92063492	2.08988764	ZNF367
ENSG00000106028	0.591992964	8.361314327	5.816346872	0.501809887	100.01788	25	1.696629213	SSBP1
ENSG00000128815	0.509936146	6.928796947	6.658374587	0.499338619	14.866119	24.98412698	1.460674157	WDFY4
ENSG00000175535	0.136572187	2.425654496	15.47971224	0.504305774	296.7904	15.22222222	2.966292135	PNLIP
ENSG00000198947	0.338921759	5.093739688	9.925476218	0.498929848	51.86643	24.98412698	2.93258427	DMD
ENSG00000119906	0.717207292	8.258272813	3.177176746	0.501079725	16.313404	24.98412698	0.943820225	SLF2
ENSG00000198826	0.403377267	5.692950071	8.343349977	0.493287828	2.5345163	24.87301587	1.988764045	ARHGAP11A
ENSG00000112893	0.425782853	6.134394323	8.110418042	0.49635329	23.25087	24.98412698	1.95505618	MAN2A1
ENSG00000107242	0.382911706	5.562164565	8.81303653	0.498329789	19.854546	24.93650794	2.101123596	PIP5K1B
ENSG00000148408	0.291364225	4.415564813	10.86705497	0.494213327	7.945218	22.65079365	2.146067416	CACNA1B
ENSG00000153944	0.727381777	8.236157938	3.116735607	0.500829926	51.462902	25	0.91011236	MSI2
ENSG00000188554	0.567733152	7.761458798	5.911466069	0.506508264	126.1851	24.98412698	1.685393258	NBR1
ENSG00000120137	0.400306671	5.894685357	8.759690103	0.505841244	9.579068	25	2.258426966	PANK3
ENSG00000164615	0.620386947	7.885860206	4.855633201	0.500104324	22.515896	25	1.426966292	CAMLG
ENSG00000138085	0.384807407	5.831045234	9.211687986	0.498984948	130.41612	25	2.831460674	ATRAID
ENSG00000117151	0.440840608	6.226326455	7.87423624	0.503467229	14.401447	25	2.078651685	CTBS
ENSG00000163607	0.611776639	7.463135654	4.878453776	0.504536284	5.839368	25	1.112359551	GTPBP8
ENSG00000131845	0.368785868	5.219050889	9.030953943	0.510786329	0.7889152	24.19047619	1.91011236	ZNF304
ENSG00000165113	0.313160006	4.77555855	10.60386838	0.503055671	20.598484	25	2.93258427	GKAP1
ENSG00000182583	0.138563675	2.62279171	16.81271989	0.515891483	2.4253273	17.49206349	2.842696629	VCX
ENSG00000158526	0.452924213	6.257802569	7.808875559	0.507461509	32.22094	24.98412698	1.988764045	TSR2
ENSG00000249437	0.577281107	7.623135661	5.461894626	0.512971662	28.53899	25	1.449438202	NAIP
ENSG00000149743	0.583785377	7.680906519	5.521481066	0.511629682	53.228027	25	1.573033708	TRPT1
ENSG00000135838	0.32449215	5.083310325	10.19015044	0.494747875	18.426579	25	2.887640449	NPL
ENSG00000173875	0.375055573	5.621404284	9.080521742	0.501671131	3.3784318	24.88888889	2.112359551	ZNF791
ENSG00000119487	0.459638363	6.771823491	7.867454696	0.508426626	74.03384	25	2.02247191	MAPKAP1
ENSG00000155265	0.480695542	6.407354917	6.778547779	0.497426191	6.358187	23.76190476	1.505617978	GOLGA7B
ENSG00000130348	0.666278795	8.101044576	4.08499257	0.50768443	13.927269	25	0.943820225	QRSL1
ENSG00000138821	0.511922421	7.066112125	6.753045614	0.498499406	28.246296	25	1.595505618	SLC39A8
ENSG00000115947	0.697384108	8.545954219	3.63462804	0.500022251	31.686428	25	1.146067416	ORC4
ENSG00000137720	0.340590043	5.089604238	10.00301092	0.500891562	12.770194	25	2.662921348	C11orf1
ENSG00000173327	0.725111635	8.772170774	3.469380209	0.49887684	66.6648	25	0.921348315	MAP3K11
ENSG00000105507	0.035591488	0.904352605	25.25073804	0.499247075	0.020806028	1.904761905	2.831460674	CABP5
ENSG00000115840	0.650680988	8.300963739	4.413653441	0.501480509	49.117775	25	1.078651685	SLC25A12
ENSG00000029363	0.795334617	9.192391148	2.385627891	0.504634027	97.43666	25	0.314606742	BCLAF1
ENSG00000173546	0.582771651	7.505720729	5.315114292	0.502022371	21.461973	24.95238095	1.157303371	CSPG4
ENSG00000138185	0.417935364	6.034247429	8.286740074	0.492934454	13.28586	24.96825397	2.101123596	ENTPD1
ENSG00000132274	0.627897858	8.280092383	4.673430933	0.513816194	44.739967	25	1.202247191	TRIM22
ENSG00000186049	0.093250842	2.007230749	19.84832438	0.507889763	13.683334	11.25396825	2.93258427	KRT73
ENSG00000145920	0.141216803	2.600860546	15.72131644	0.51019028	10.398469	15.17460317	2.674157303	CPLX2
ENSG00000257335	0.279929232	4.353925714	11.01549823	0.495363421	22.787052	24.46031746	2.741573034	MGAM
ENSG00000081181	0.30887736	4.711135875	10.44708724	0.49394954	24.820768	25	2.696629213	ARG2
ENSG00000030110	0.464579264	6.444904545	7.47390659	0.505014734	15.368617	25	1.685393258	BAK1
ENSG00000108433	0.597095903	7.749219421	5.173963747	0.502379581	36.66487	25	1.235955056	GOSR2
ENSG00000162601	0.596759894	7.740671258	5.152503795	0.509897914	17.518732	24.98412698	1.146067416	MYSM1
ENSG00000118181	0.852455679	11.31953848	1.938406722	0.502196202	1033.7128	25	0.449438202	RPS25
ENSG00000181938	0.304089974	4.699636035	10.76298623	0.501652006	1.3007088	24.76190476	2.404494382	GINS3
ENSG00000008952	0.634768992	8.296504607	4.831700244	0.50700178	81.9859	25	1.404494382	SEC62
ENSG00000214026	0.641905409	8.401426139	4.770692373	0.498190343	76.15368	25	1.415730337	MRPL23
ENSG00000097021	0.385394776	5.515001375	8.931345835	0.498997078	40.657993	25	2.325842697	ACOT7
ENSG00000180113	0.244126785	4.028731208	12.65720724	0.507821657	3.1033971	23.85714286	2.988764045	TDRD6
ENSG00000054179	0.466667928	6.43636413	7.279761982	0.506874039	8.941588	24.74603175	1.494382022	ENTPD2
ENSG00000125388	0.292273701	4.537500705	10.77222403	0.501213013	6.622857	24.95238095	2.820224719	GRK4
ENSG00000135750	0.411224091	5.747538763	8.176884567	0.518824631	4.8326764	24.55555556	1.606741573	KCNK1
ENSG00000152467	0.109319222	2.201925527	17.90718917	0.501071799	0.8640371	15.22222222	2.95505618	ZSCAN1
ENSG00000114455	0.140102561	2.595401428	15.42284998	0.495241499	8.162957	15.80952381	2.752808989	HHLA2
ENSG00000086696	0.143600193	2.650473471	16.08024123	0.487643855	10.3984375	15.57142857	2.831460674	HSD17B2
ENSG00000162366	0.392577984	5.487927422	8.709391191	0.502385049	50.109695	24.26984127	2.134831461	PDZK1IP1
ENSG00000105954	0.033800075	0.839701214	25.29273044	0.510039223	0.0389647	0.714285714	2.820224719	NPVF
ENSG00000186439	0.227001884	3.691903943	12.58858683	0.502104862	42.509537	22.76190476	2.707865169	TRDN
ENSG00000074855	0.377860885	5.607882336	9.197090523	0.504138502	40.201324	24.98412698	2.483146067	ANO8
ENSG00000218891	0.563498192	6.945361579	5.45064991	0.504592345	0.7811423	24.41269841	1	ZNF579
ENSG00000205413	0.335742874	4.797768396	9.42491287	0.508644939	0.43977633	19.66666667	1.528089888	SAMD9
ENSG00000181991	0.534601143	7.307219393	6.519934245	0.505902858	35.486237	25	1.629213483	MRPS11
ENSG00000135823	0.500786945	6.962685323	6.74411751	0.49942065	14.296471	25	1.898876404	STX6
ENSG00000069509	0.528806917	7.245937352	6.434809261	0.504204998	11.651692	24.98412698	1.606741573	FUNDC1
ENSG00000174791	0.461907525	6.236070302	7.315590541	0.507763163	12.807606	25	1.797752809	RIN1
ENSG00000175575	0.503669195	6.813926309	7.072930531	0.505252499	37.86409	25	2.011235955	PAAF1
ENSG00000178741	0.658510555	8.932698771	4.669002865	0.50633602	150.45581	25	1.325842697	COX5A
ENSG00000198399	0.461113785	6.733825817	7.893431741	0.51016407	83.78925	25	2.213483146	ITSN2
ENSG00000169906	0.025118071	0.666987914	25.94156182	0.507673731	0.09608133	0.746031746	2.865168539	S100G
ENSG00000170464	0.44482043	6.2913609	7.677561939	0.493889376	9.344147	24.98412698	1.707865169	DNAJC18
ENSG00000204392	0.733358807	8.711706964	3.199210966	0.492231917	28.413717	25	0.696629213	LSM2
ENSG00000100968	0.657499087	8.250459358	4.291822453	0.495612157	62.327698	24.98412698	1.426966292	NFATC4
ENSG00000131459	0.559770912	7.520958336	5.946241093	0.51078452	38.095623	24.96825397	1.528089888	GFPT2
ENSG00000166025	0.307635709	4.835150355	10.86081659	0.502393732	22.28846	25	2.741573034	AMOTL1
ENSG00000083720	0.530521948	7.284716193	6.337301171	0.495776117	47.756947	25	1.617977528	OXCT1
ENSG00000180370	0.434145327	6.16809237	8.21111731	0.50418578	37.38737	24.98412698	2.224719101	PAK2
ENSG00000105879	0.691793565	7.628490993	3.417499952	0.497559193	5.3879504	24.96825397	0.91011236	CBLL1
ENSG00000076003	0.486181146	6.757112308	6.965897778	0.494671026	26.775236	25	1.842696629	MCM6
ENSG00000196419	0.855978357	10.78017679	1.72103175	0.496851292	330.32294	24.98412698	0.415730337	XRCC6
ENSG00000141371	0.0944628	1.991827064	18.83794214	0.509070328	1.0023297	12.68253968	2.921348315	C17orf64
ENSG00000171867	0.289588553	4.515238012	11.18636005	0.50079431	7.0969014	24.96825397	2.808988764	PRNP
ENSG00000090581	0.825421405	10.14044568	2.083344885	0.502730602	141.83354	25	0.696629213	GNPTG
ENSG00000067066	0.549286847	7.497677021	6.084392706	0.49477538	107.800804	25	1.775280899	SP100
ENSG00000164466	0.588002027	7.838885076	5.463436716	0.491982056	24.53384	25	1.382022472	SFXN1
ENSG00000205076	0.272477666	4.211667013	11.16399967	0.501032089	167.56618	23.6984127	2.730337079	LGALS7
ENSG00000066813	0.142654938	2.616751486	15.69384344	0.500212586	57.959064	16.26984127	2.93258427	ACSM2B
ENSG00000172247	0.174014049	3.084652307	14.51952115	0.501322509	3.1341493	18.34920635	2.707865169	C1QTNF4
ENSG00000183665	0.429480936	6.04282342	7.939180811	0.511331813	2.2403126	24.17460317	1.640449438	TRMT12
ENSG00000153443	0.388844718	5.635500086	8.703427877	0.499446632	15.199484	25	2.213483146	UBALD1
ENSG00000168758	0.499814888	7.166122086	7.158932638	0.513826303	56.76205	25	1.95505618	SEMA4C
ENSG00000147065	0.528545707	7.473300176	6.59318304	0.508109726	228.61726	24.98412698	2.04494382	MSN
ENSG00000125898	0.269708201	4.241560893	11.6414722	0.489001605	1.242624	24.31746032	2.460674157	FAM110A
ENSG00000148123	0.149917602	2.765372868	15.46266708	0.488063932	2.788879	17.22222222	2.876404494	PLPPR1
ENSG00000139055	0.226788923	3.68753621	12.51295503	0.48220829	4.5035872	22.6984127	2.95505618	ERP27
ENSG00000105472	0.278947159	4.426248467	11.51676715	0.505279879	6.5937715	24.84126984	2.898876404	CLEC11A
ENSG00000105778	0.442704994	6.273981524	7.913847141	0.496510973	21.4431	24.98412698	2.179775281	AVL9
ENSG00000165125	0.300915675	4.484021599	10.37379796	0.495913912	8.818077	22.61904762	2.348314607	TRPV6
ENSG00000181458	0.382165947	5.543604044	8.879504849	0.495226076	73.79459	24.95238095	2.359550562	TMEM45A
ENSG00000033100	0.465828077	6.573487535	7.493133087	0.487815361	14.18901	25	1.865168539	CHPF2
ENSG00000165804	0.653736092	8.051276391	4.238466997	0.498426848	23.089664	25	1.078651685	ZNF219
ENSG00000165168	0.29415173	4.576937165	10.98825091	0.514162317	15.413374	24.93650794	2.842696629	CYBB
ENSG00000130349	0.575125585	7.323054629	5.364084903	0.4988519	10.68404	25	1.157303371	C6orf203
ENSG00000074803	0.095538071	1.971469465	19.13560086	0.509868043	171.46953	12.87301587	2.943820225	SLC12A1
ENSG00000111725	0.623014212	7.959559269	4.792821468	0.507870743	29.243015	25	1.235955056	PRKAB1
ENSG00000092445	0.448714857	6.209928527	7.547169751	0.495994689	33.730614	24.96825397	1.93258427	TYRO3
ENSG00000106609	0.491499417	6.854830316	6.991620554	0.501378418	36.247326	25	1.921348315	TMEM248
ENSG00000130734	0.404909407	5.965450011	8.838230729	0.496005914	39.561867	24.98412698	2.224719101	ATG4D
ENSG00000141027	0.560960891	7.706439406	6.028403213	0.492302224	115.67287	24.98412698	1.887640449	NCOR1
ENSG00000156110	0.527987306	7.166479489	6.450090343	0.489957317	40.67882	25	1.775280899	ADK
ENSG00000184148	0.044756968	1.108137053	23.57416163	0.489106538	0.7652499	3.428571429	2.853932584	SPRR4
ENSG00000185480	0.365236281	5.191997152	9.030174285	0.491529909	1.050363	24.28571429	1.95505618	PARPBP
ENSG00000187733	0.315456896	4.793234494	10.47730382	0.497772802	67.363464	24.96825397	2.93258427	AMY1C
ENSG00000089101	0.225109651	3.710593693	12.61839215	0.500365377	2.597079	22.53968254	2.775280899	CFAP61
ENSG00000100836	0.767453068	8.68207354	2.628557516	0.508773737	40.87925	25	0.595505618	PABPN1
ENSG00000164815	0.597200872	7.728825621	5.320035097	0.493928309	19.88304	25	1.382022472	ORC5
ENSG00000167881	0.513226049	7.367009786	7.071309296	0.501480435	109.31451	25	1.95505618	SRP68
ENSG00000086848	0.604672863	7.079045716	4.66083107	0.512687188	2.9627342	24.96825397	0.876404494	ALG9
ENSG00000168918	0.38670044	5.573221451	9.001880083	0.491677725	41.61095	25	2.460674157	INPP5D
ENSG00000174844	0.210629976	3.47319744	12.83296745	0.490943322	4.4489527	23.03174603	2.898876404	DNAH12
ENSG00000073060	0.399245135	5.901236894	8.929673294	0.507746349	164.58583	25	2.584269663	SCARB1
ENSG00000180353	0.398709846	5.86198754	9.001984941	0.496018444	77.29258	25	2.550561798	HCLS1
ENSG00000173137	0.495315662	6.881384543	6.823208687	0.496490067	23.503735	25	1.707865169	ADCK5
ENSG00000127838	0.518114616	6.949192817	6.549743544	0.499509968	42.502197	25	1.887640449	PNKD
ENSG00000211673	0.184748524	3.087685817	13.7428754	0.500963725	18.916039	19.15873016	3	IGLV3-1
ENSG00000064490	0.759108713	8.901719346	2.844991034	0.503976169	57.698055	24.98412698	1.08988764	RFXANK
ENSG00000099624	0.612001293	8.56065584	5.41510903	0.498710354	130.82845	25	1.528089888	ATP5F1D
ENSG00000266028	0.47868758	6.858376103	7.517665253	0.50500027	62.20877	25	2	SRGAP2
ENSG00000095066	0.61142938	8.088792892	5.14842954	0.504727978	155.1047	24.98412698	1.528089888	HOOK2
ENSG00000124813	0.256631128	4.106220292	11.81215427	0.490322456	1.6082789	24.15873016	2.752808989	RUNX2
ENSG00000102054	0.837588338	9.901302052	1.942562841	0.504179829	161.06244	24.98412698	0.179775281	RBBP7
ENSG00000101871	0.364049549	5.289257292	9.214138832	0.505158382	8.052063	24.73015873	2.415730337	MID1
ENSG00000131981	0.60649315	8.412537884	5.26653915	0.498180264	365.9983	25	1.696629213	LGALS3
ENSG00000048471	0.434386701	6.130566762	8.086341566	0.50374896	11.998548	24.98412698	1.91011236	SNX29
ENSG00000111859	0.69808938	8.282976506	3.497085383	0.503652385	39.9422	25	0.966292135	NEDD9
ENSG00000100139	0.712904829	8.795243169	3.62324233	0.489741344	50.38637	25	0.97752809	MICALL1
ENSG00000114737	0.505130623	6.586701231	6.312304958	0.503542064	5.2344756	24.06349206	1.101123596	CISH
ENSG00000005471	0.272258481	4.277897421	11.82405925	0.490273835	12.988702	24.9047619	2.966292135	ABCB4
ENSG00000162510	0.117774602	2.314645232	17.36072735	0.490513893	0.12517148	15.74603175	2.93258427	MATN1
ENSG00000105550	0.022667532	0.654153262	26.20130155	0.50828301	0.87764686	2.714285714	3	FGF21
ENSG00000134824	0.577222055	7.524314397	5.589354291	0.495162459	99.125	25	1.438202247	FADS2
ENSG00000075043	0.164555751	2.916736382	14.9534894	0.48400287	14.584992	18.07936508	2.786516854	KCNQ2
ENSG00000105287	0.515442491	7.192008014	6.756643828	0.502781544	95.76466	24.98412698	1.887640449	PRKD2
ENSG00000155508	0.640737358	8.053498663	4.489236918	0.501398181	31.81162	25	1	CNOT8
ENSG00000103512	0.717514742	9.325937436	3.577348757	0.493751678	299.00687	25	1.202247191	NOMO1
ENSG00000224877	0.328246919	4.885835167	10.16882462	0.504276477	10.267598	24.98412698	2.797752809	NDUFAF8
ENSG00000042445	0.46904388	6.692277756	7.719747504	0.500180664	79.4556	25	2.033707865	RETSAT
ENSG00000119431	0.460384809	6.325446962	7.7230535	0.492837914	11.834402	25	1.887640449	HDHD3
ENSG00000126522	0.378343981	5.769457403	9.309876167	0.51044369	137.67055	25	2.775280899	ASL
ENSG00000103591	0.64800455	8.200626459	4.517284361	0.506124373	28.368773	24.98412698	1.056179775	AAGAB
ENSG00000084073	0.446504137	6.363906551	7.704687801	0.49681326	27.374674	24.98412698	1.808988764	ZMPSTE24
ENSG00000129170	0.150610651	2.727532286	15.36318722	0.510268506	19.644394	17.85714286	2.93258427	CSRP3
ENSG00000100027	0.567512247	7.025850841	5.300635018	0.496277952	4.0908237	24.96825397	0.966292135	YPEL1
ENSG00000125944	0.714042387	9.113160237	3.724826268	0.502228898	100.754166	25	0.842696629	HNRNPR
ENSG00000072609	0.427861449	6.342861971	8.332718516	0.492911904	37.73454	25	2.314606742	CHFR
ENSG00000140382	0.732864771	8.041221742	3.006321997	0.504194922	14.093104	25	0.483146067	HMG20A
ENSG00000113249	0.148208914	2.714568334	15.17781513	0.499200758	0.77243763	15.6984127	2.415730337	HAVCR1
ENSG00000176407	0.518523852	7.118808886	6.578722821	0.504600162	32.815643	25	1.808988764	KCMF1
ENSG00000144228	0.532362534	7.121576675	6.238962029	0.498404287	9.430225	24.98412698	1.471910112	SPOPL
ENSG00000100316	0.722557006	10.59588582	4.044120335	0.501857134	3411.4846	24.98412698	1.505617978	RPL3
ENSG00000137409	0.786512832	9.960331437	2.713441152	0.501380596	432.85785	25	0.640449438	MTCH1
ENSG00000124596	0.40107245	5.678904568	8.755968915	0.497986189	17.675146	25	2.224719101	OARD1
ENSG00000234745	0.670982263	9.662080697	4.712269291	0.502674323	1771.0302	25	1.471910112	HLA-B
ENSG00000253729	0.790851286	9.299063164	2.37498193	0.500624431	122.08473	25	0.280898876	PRKDC
ENSG00000184661	0.271993184	4.238365268	11.41330115	0.48351967	1.1088126	21.15873016	2.325842697	CDCA2
ENSG00000184163	0.264352373	4.120286136	11.97454519	0.49921447	3.915024	24.88888889	3	C1QTNF12
ENSG00000186377	0.311845924	4.913648966	10.66774721	0.492174131	14.904356	24.79365079	2.629213483	CYP4X1
ENSG00000204427	0.399751834	5.960338708	8.861426478	0.504797903	131.29195	25	2.707865169	ABHD16A
ENSG00000205884	0.015618393	0.383725137	26.14686026	0.494860359	0.000347261	0.015873016	2.966292135	DEFB136
ENSG00000176248	0.48787037	6.927005374	7.297520598	0.499888576	65.75629	25	2.157303371	ANAPC2
ENSG00000196118	0.290624051	4.713291437	10.93301484	0.481205434	9.784114	24.96825397	2.202247191	CCDC189
ENSG00000258947	0.233788136	3.722714806	12.24568819	0.495280727	2.119988	22.3968254	2.516853933	TUBB3
ENSG00000145868	0.523575493	7.259292046	6.740801326	0.501709887	42.414124	25	1.91011236	FBXO38
ENSG00000078237	0.58859293	7.433810208	5.158124153	0.492511111	4.8715267	24.96825397	1.191011236	TIGAR
ENSG00000176463	0.30623467	4.738348993	10.74244604	0.499065462	22.513725	25	2.988764045	SLCO3A1
ENSG00000126890	0.03708165	1.002797953	24.84432096	0.488059299	0.16722676	3.079365079	2.853932584	CTAG2
ENSG00000269586	0.051678592	1.264458434	23.07379023	0.496824468	0.3260933	6.238095238	2.91011236	CT45A10
ENSG00000127588	0.062011836	1.400366078	21.87213929	0.509489977	0.32050705	7.063492063	2.797752809	GNG13
ENSG00000151418	0.031204774	0.831925049	25.82552802	0.494868978	0.70939285	3.031746032	2.95505618	ATP6V1G3
ENSG00000143612	0.725120583	9.018859186	3.525506515	0.49006485	108.99522	25	1.112359551	C1orf43
ENSG00000163170	0.468017636	6.525765457	7.376841624	0.493347137	16.060167	25	1.730337079	BOLA3
ENSG00000100802	0.65228391	7.471152075	3.854075359	0.500214642	8.683753	25	0.393258427	C14orf93
ENSG00000198169	0.419643611	6.020960332	8.419168717	0.495158388	11.669293	24.96825397	1.943820225	ZNF251
ENSG00000167380	0.468074844	6.574919338	7.544003716	0.492667821	13.551004	24.96825397	1.831460674	ZNF226
ENSG00000173480	0.469727354	6.365109509	7.077740794	0.506236099	2.0610533	24.95238095	1.483146067	ZNF417
ENSG00000015520	0.250062845	3.979541252	12.24304005	0.500628797	4.719142	22.95238095	2.640449438	NPC1L1
ENSG00000171595	0.178098602	3.092770464	14.11187346	0.496910768	2.4789476	14.93650794	2.393258427	DNAI2
ENSG00000110011	0.651852102	8.436112466	4.511613888	0.508157771	65.998924	25	1.449438202	DNAJC4
ENSG00000164933	0.516926185	6.917545762	6.500827133	0.496642996	9.951757	24.98412698	1.674157303	SLC25A32
ENSG00000185798	0.321584178	4.831326364	9.936815865	0.494313197	1.8770657	24.93650794	2.415730337	WDR53
ENSG00000197852	0.367563614	5.374641341	9.062934074	0.505125907	1.2943591	24.28571429	1.921348315	FAM212B
ENSG00000129480	0.424905457	6.07181418	8.17322845	0.494370718	2.902311	24.96825397	1.842696629	DTD2
ENSG00000169612	0.744110487	7.792276651	2.777286743	0.504609502	11.828245	25	0.348314607	FAM103A1
ENSG00000224089	0.018555688	0.467063661	25.50409786	0.498588281	0.005702843	0.682539683	2.97752809	CT47A10
ENSG00000124490	0.159715424	2.801470745	14.75739138	0.493990109	7.7962656	18.25396825	2.831460674	CRISP2
ENSG00000134755	0.377665527	5.48123836	8.899579161	0.496986336	25.020983	24.87301587	2.303370787	DSC2
ENSG00000100442	0.603196965	8.168178169	5.248878866	0.516916172	69.48746	25	1.426966292	FKBP3
ENSG00000149573	0.452339093	6.471611222	7.738522326	0.495965901	22.446863	24.71428571	1.95505618	MPZL2
ENSG00000116871	0.426167525	6.311594021	8.59651261	0.5009913	250.27322	25	2.483146067	MAP7D1
ENSG00000147459	0.396519103	5.732764083	9.065348296	0.497939321	40.321827	25	2.584269663	DOCK5
ENSG00000120251	0.196836932	3.258510033	13.21958847	0.494387792	10.569594	20.50793651	2.831460674	GRIA2
ENSG00000172724	0.290715408	4.493432563	11.01997576	0.488503108	17.524796	24	2.831460674	CCL19
ENSG00000183317	0.296935189	4.371116395	10.60638052	0.504436579	6.900434	22.11111111	2.101123596	EPHA10
ENSG00000240720	0.324740738	4.82110579	10.13451462	0.493824287	32.61493	25	2.97752809	LRRD1
ENSG00000127720	0.333037852	4.982314434	10.16332061	0.498166514	8.182092	25	2.674157303	METTL25
ENSG00000038274	0.486170036	6.872726076	7.26029082	0.504493397	47.30943	25	1.97752809	MAT2B
ENSG00000131196	0.333510587	4.960768613	9.967253173	0.500477919	10.121671	24.98412698	2.764044944	NFATC1
ENSG00000123472	0.482053054	6.909714268	7.536111953	0.512058891	80.862755	25	2.04494382	ATPAF1
ENSG00000136929	0.078317674	1.672701866	19.74310874	0.497275311	0.57037526	8.571428571	2.797752809	HEMGN
ENSG00000135945	0.619450916	8.108655647	5.012297978	0.502556927	59.41728	25	1.404494382	REV1
ENSG00000074603	0.743362825	8.1476577	2.784384897	0.501425355	19.45693	24.98412698	0.988764045	DPP8
ENSG00000138663	0.674475433	8.793979831	4.146816283	0.506303989	44.08228	25	1.134831461	COPS4
ENSG00000268104	0.183395121	3.085167705	13.6701008	0.502931491	6.2496963	12.28571429	2.213483146	SLC6A14
ENSG00000066427	0.636081323	7.840038308	4.508289631	0.497822572	14.8528385	25	0.629213483	ATXN3
ENSG00000178882	0.205485106	3.449362049	13.43379723	0.489259387	1.0590632	22.46031746	2.786516854	RFLNA
ENSG00000203786	0.025788985	0.72428841	26.10034614	0.50314503	0.30949804	1.079365079	2.91011236	KPRP
ENSG00000248098	0.655464747	7.445650584	3.920183129	0.495939838	4.4033437	24.98412698	0.404494382	BCKDHA
